,b_id,b_permit_type,b_category,b_action_type,b_work_type,b_value,b_issue_date,b_final_date,b_expiration_date,b_status,b_latitude,b_longitude
9162,6412016,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,284200.0,2014-09-10,2016-05-10,2017-09-10,Permit Closed,47.53532862,-122.3521412
9179,6399499,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,314490.0,2014-10-12,2015-06-18,2016-04-12,Permit Closed,47.65605474,-122.4019643
9181,6410710,Construction,MULTIFAMILY,NEW,Plan Review,18385437.0,2015-12-11,2017-08-31,2018-12-11,Permit Closed,47.67985766,-122.3233612
9189,6450096,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,541095.0,2016-09-20,,2018-03-20,Permit Issued,47.52206652,-122.3398896
9203,6393636,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,342139.0,2014-03-07,2015-03-02,2015-09-07,Permit Closed,47.67492053,-122.39252659999998
9209,6597172,Construction,MULTIFAMILY,NEW,Plan Review,538699.0,2017-10-25,,2019-04-25,Permit Issued,47.52056151,-122.3542366
9211,6363775,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,372806.0,2013-09-21,,2015-03-21,Permit Closed,47.64825912,-122.4086498
9244,6440500,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,393453.0,2015-06-22,2017-03-27,2016-12-22,Permit Closed,47.67221265,-122.3859922
9247,6412108,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,341721.0,2014-10-22,2015-10-26,2016-04-22,Permit Finaled,47.70730797,-122.3117616
9250,6492273,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,298143.0,2016-06-06,2017-05-02,2017-12-06,Permit Closed,47.54873632,-122.3943854
9254,6544131,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,447023.0,2016-12-21,,2018-06-21,Permit Issued,47.64920338,-122.4070777
9269,6372520,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,290991.0,2015-04-20,,2018-04-20,Permit Issued,47.57123492,-122.2887069
9280,6378684,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,331410.0,2013-12-02,2014-11-21,2015-06-02,Permit Closed,47.73013402,-122.3348706
9281,6504852,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,515113.0,2016-07-25,2017-10-18,2018-01-25,Permit Closed,47.67570871,-122.3971381
9290,6268969,Construction,MULTIFAMILY,NEW,Plan Review,13627890.0,2014-12-18,2014-12-18,2016-06-18,Permit Closed,47.62490137,-122.3655399
9314,6430692,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,438202.0,2016-09-12,2017-11-15,2018-03-12,Permit Closed,47.66089966,-122.3963736
9315,6451132,Construction,COMMERCIAL,NEW,Plan Review,37623062.0,2017-08-04,,2019-02-04,Permit Issued,47.60984592,-122.3244001
9366,6481628,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,316212.0,2017-01-12,2017-12-28,2018-07-12,Permit Finaled,47.54472926,-122.2863805
