,b_id,b_category,b_value,b_issue_date,b_final_date,b_status,b_lat,b_long
17449,6352823,MULTIFAMILY,19380313.0,2014-05-14,2015-12-01,Permit Closed,47.55977042,-122.3832189
17477,6429047,INSTITUTIONAL,17748284.0,2015-03-30,2016-10-12,Permit Closed,47.71343606,-122.314673
17954,6337353,MULTIFAMILY,6167115.0,2013-07-15,2014-10-10,Cert of Occupancy Authorized,47.61933063,-122.3218517
18122,6356077,COMMERCIAL,1150500.0,2014-02-16,2016-02-23,Permit Closed,47.61273006,-122.3028953
18398,6345955,MULTIFAMILY,1447765.0,2014-03-13,2015-06-12,Cert of Occupancy Authorized,47.66930636,-122.3115983
18549,6336323,MULTIFAMILY,19589263.0,2015-01-22,2016-09-26,Permit Closed,47.57489783,-122.3864325
18581,6314548,COMMERCIAL,25123512.0,2014-03-04,2015-08-26,Permit Closed,47.61754059,-122.33621940000002
18615,6398637,MULTIFAMILY,42070592.0,2015-01-21,2016-10-12,Permit Closed,47.61181606,-122.3231999
18657,6359891,MULTIFAMILY,1003573.0,2013-10-05,2014-08-13,Permit Closed,47.70488348,-122.3395486
18753,6314549,COMMERCIAL,13750828.0,2013-08-15,2015-06-02,Permit Closed,47.56013448,-122.3864298
18836,6337899,COMMERCIAL,17650659.0,2014-11-14,2016-09-08,Permit Closed,47.69034191,-122.3584354
19106,6428629,MULTIFAMILY,3862249.0,2015-06-08,2017-03-29,Permit Closed,47.65026619,-122.321914
19305,6395342,SINGLE FAMILY / DUPLEX,1250577.0,2015-07-09,2017-02-16,Permit Closed,47.69253539,-122.3776106
19391,6378510,MULTIFAMILY,3500000.0,2014-10-03,2017-05-24,Permit Closed,47.61067146,-122.3395868
19465,6374351,MULTIFAMILY,1920000.0,2014-04-17,2015-10-07,Permit Closed,47.61445461,-122.3241936
19473,6367473,MULTIFAMILY,8093190.0,2014-05-30,2017-05-30,Permit Closed,47.66461107,-122.3171825
19493,6403673,MULTIFAMILY,1200156.0,2015-06-10,2017-02-28,Cert of Occupancy Authorized,47.659998,-122.3211243
19644,6407331,MULTIFAMILY,1754064.0,2016-03-23,2017-09-22,Permit Closed,47.67330639,-122.3766959
19775,6470594,INDUSTRIAL,2274536.0,2016-03-07,2017-06-13,Permit Closed,47.66180836,-122.3868917
19924,6367484,COMMERCIAL,74449086.0,2014-11-13,2017-09-06,Permit Closed,47.6217268,-122.3347899
19995,6307282,COMMERCIAL,30741554.0,2013-09-13,2015-07-07,Cert of Occupancy Authorized,47.61336267,-122.3190838
20076,6410711,INSTITUTIONAL,17191871.0,2015-03-26,2017-05-15,Permit Closed,47.65162035,-122.3129426
20168,6352586,INSTITUTIONAL,6361904.0,2014-07-03,2015-08-03,Permit Closed,47.61172224,-122.3157095
20196,6436863,MULTIFAMILY,1228889.0,2015-04-23,2016-12-14,Permit Finaled,47.55728664,-122.3818713
20321,6370623,MULTIFAMILY,4446557.0,2014-04-14,2015-05-08,Cert of Occupancy Authorized,47.62266792,-122.3250251
20662,6369324,COMMERCIAL,4179902.0,2013-11-22,2015-04-16,Permit Closed,47.62154693,-122.3401645
21008,6164894,COMMERCIAL,42738310.0,2014-10-01,2017-04-27,Permit Closed,47.61070574,-122.3413759
21209,6361128,COMMERCIAL,11081844.0,2013-10-02,2015-06-11,Permit Closed,47.58542454,-122.3218658
21450,6374401,MULTIFAMILY,4921956.0,2015-02-25,2016-07-14,Permit Closed,47.66554497,-122.3178776
21452,6314268,COMMERCIAL,25232064.0,2014-09-09,2016-06-15,Permit Closed,47.62069226,-122.3413943
21456,6432244,COMMERCIAL,9643078.0,2015-03-18,2016-08-09,Permit Closed,47.57973893,-122.31172
